R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_TD_pct,B_avg_TD_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,weight_class,Winner,age_diff,height_diff,reach_diff,strike_acc_diff,td_acc_diff,sub_att_diff
40.0,32.0,193.04,200.66,203.2,203.2,0.7840547943115235,0.55296875,0.7911476135253906,0.20703125,0.0322265625,0.0,Heavyweight,Blue,8.0,-7.6200000000000045,0.0,0.23108604431152346,0.5841163635253906,0.0322265625
36.0,31.0,175.26,177.8,187.96,182.88,0.41353515625,0.5883159637451172,0.243203125,0.2483944702148438,0.693359375,0.7502670288085938,Lightweight,Blue,5.0,-2.5400000000000205,5.0800000000000125,-0.1747808074951172,-0.0051913452148437955,-0.05690765380859375
36.0,31.0,175.26,177.8,187.96,182.88,0.41353515625,0.5883159637451172,0.243203125,0.2483944702148438,0.693359375,0.7502670288085938,Lightweight,Blue,5.0,-2.5400000000000205,5.0800000000000125,-0.1747808074951172,-0.0051913452148437955,-0.05690765380859375
28.0,39.0,180.34,167.64,177.8,172.72,0.4603125,0.444719206392765,0.0625,0.1413426961004734,0.0625,0.0166709423065185,Bantamweight,Red,-11.0,12.700000000000017,5.0800000000000125,0.015593293607234993,-0.0788426961004734,0.0458290576934815
32.0,35.0,193.04,198.12,208.28,195.58,0.6890625,0.72,0.0,0.25,0.0,0.0,LightHeavyweight,Blue,-3.0,-5.0800000000000125,12.699999999999989,-0.03093749999999995,-0.25,0.0
28.0,24.0,182.88,177.8,187.96,182.88,0.4175,0.44,0.25,0.2125,0.0,1.5,Featherweight,Red,4.0,5.079999999999984,5.0800000000000125,-0.02250000000000002,0.037500000000000006,-1.5
32.0,30.0,185.42,187.96,187.96,190.5,0.4246875,0.4,0.05453125,0.5,0.0,0.5,Middleweight,Blue,2.0,-2.5400000000000205,-2.539999999999992,0.024687499999999973,-0.44546874999999997,-0.5
32.0,32.0,175.26,175.26,182.88,187.96,0.5225306129455567,0.636923828125,0.1022792088985443,0.0013671875,2.390918493270874,0.0,Lightweight,Red,0.0,0.0,-5.0800000000000125,-0.11439321517944334,0.1009120213985443,2.390918493270874
32.0,32.0,175.26,175.26,182.88,187.96,0.5225306129455567,0.636923828125,0.1022792088985443,0.0013671875,2.390918493270874,0.0,Lightweight,Red,0.0,0.0,-5.0800000000000125,-0.11439321517944334,0.1009120213985443,2.390918493270874
32.0,32.0,175.26,175.26,182.88,187.96,0.5225306129455567,0.636923828125,0.1022792088985443,0.0013671875,2.390918493270874,0.0,Lightweight,Red,0.0,0.0,-5.0800000000000125,-0.11439321517944334,0.1009120213985443,2.390918493270874
33.0,30.0,185.42,187.96,187.96,200.66,0.236583251953125,0.402060546875,0.0343789672851562,0.4418408203125,0.0,0.259765625,Middleweight,Red,3.0,-2.5400000000000205,-12.699999999999989,-0.165477294921875,-0.4074618530273438,-0.259765625
27.0,32.0,165.1,162.56,172.72,167.64,0.42,0.55,1.0,0.18,1.0,0.0,Flyweight,Red,-5.0,2.539999999999992,5.0800000000000125,-0.13000000000000006,0.8200000000000001,1.0
30.0,32.0,185.42,190.5,193.04,187.96,0.4425390624999999,0.5375,0.0,0.0,0.03125,0.0,LightHeavyweight,Blue,-2.0,-5.0800000000000125,5.079999999999984,-0.09496093750000006,0.0,0.03125
33.0,29.0,182.88,190.5,185.42,185.42,0.34682373046875,0.6365624999999999,0.4775830078125,0.0,0.004150390625,0.03125,Middleweight,Red,4.0,-7.6200000000000045,0.0,-0.28973876953124994,0.4775830078125,-0.027099609375
30.0,33.0,180.34,185.42,182.88,193.04,0.3635546875,0.55,0.63666015625,1.0,1.03125,0.0,Welterweight,Red,-3.0,-5.079999999999984,-10.159999999999997,-0.18644531250000007,-0.36333984374999995,1.03125
31.0,37.0,172.72,170.18,177.8,172.72,0.34125,0.48375,0.140625,0.0,0.546875,0.0,Flyweight,Red,-6.0,2.539999999999992,5.0800000000000125,-0.14250000000000002,0.140625,0.546875
36.0,31.0,185.42,193.04,185.42,193.04,0.645,0.4600000000000001,0.0,0.0,0.0,0.0,LightHeavyweight,Red,5.0,-7.6200000000000045,-7.6200000000000045,0.18499999999999994,0.0,0.0
33.0,33.0,185.42,190.5,190.5,203.2,0.368837890625,0.607942705154419,0.7221447753906249,0.3713396739959717,0.1654052734375,0.009796142578125,Welterweight,Red,0.0,-5.0800000000000125,-12.699999999999989,-0.23910481452941895,0.35080510139465326,0.155609130859375
29.0,35.0,175.26,170.18,185.42,172.72,0.45,0.4078125,0.25,0.135,1.0,0.0,Featherweight,Red,-6.0,5.079999999999984,12.699999999999989,0.04218749999999999,0.11499999999999999,1.0
25.0,28.0,172.72,165.1,182.88,165.1,0.5475,0.33,0.25,0.0,0.5,0.0,Flyweight,Red,-3.0,7.6200000000000045,17.78,0.21749999999999997,0.25,0.5
33.0,32.0,172.72,185.42,193.04,185.42,0.485,0.424375,0.33,0.06125,0.0,0.21875,Middleweight,Red,1.0,-12.699999999999989,7.6200000000000045,0.060624999999999984,0.26875000000000004,-0.21875
28.0,26.0,180.34,185.42,182.88,187.96,0.59,0.63,1.0,0.5,0.0,0.0,Middleweight,Red,2.0,-5.079999999999984,-5.0800000000000125,-0.040000000000000036,0.5,0.0
26.0,27.0,182.88,182.88,190.5,187.96,0.4,0.66,0.0,0.0,0.0,0.0,Heavyweight,Red,-1.0,0.0,2.539999999999992,-0.26,0.0,0.0
36.0,40.0,187.96,182.88,190.5,190.5,0.3597830200195313,0.5546803197264671,0.1301753234863281,0.1744289952516556,0.383026123046875,0.0747528374195098,Welterweight,Red,-4.0,5.0800000000000125,0.0,-0.19489729970693587,-0.04425367176532749,0.3082732856273652
30.0,33.0,182.88,177.8,190.5,193.04,0.315,0.409375,0.1,0.285625,2.25,1.125,Welterweight,Blue,-3.0,5.079999999999984,-2.539999999999992,-0.09437499999999999,-0.185625,1.125
26.0,31.0,177.8,182.88,193.04,187.96,0.4225,0.363984375,0.125,0.142734375,0.0,0.0,Middleweight,Blue,-5.0,-5.079999999999984,5.079999999999984,0.05851562499999996,-0.017734374999999997,0.0
34.0,32.0,182.88,182.88,185.42,180.34,0.43859375,0.3445751953125,0.25064453125,0.5627587890625001,0.0,0.0,Welterweight,Blue,2.0,0.0,5.079999999999984,0.09401855468749998,-0.3121142578125001,0.0
29.0,32.0,180.34,180.34,175.26,182.88,0.4065431118011474,0.421484375,0.0362548828125,0.50515625,0.067169189453125,0.0,Featherweight,Red,-3.0,0.0,-7.6200000000000045,-0.014941263198852639,-0.4689013671875,0.067169189453125
25.0,26.0,175.26,177.8,182.88,177.8,0.5,0.19,0.0,1.0,0.0,0.0,Featherweight,Blue,-1.0,-2.5400000000000205,5.079999999999984,0.31,-1.0,0.0
32.0,33.0,167.64,172.72,170.18,180.34,0.369921875,0.40001953125,0.62890625,0.661640625,0.0703125,0.3046875,Bantamweight,Blue,-1.0,-5.0800000000000125,-10.159999999999997,-0.030097656249999993,-0.03273437499999998,-0.234375
